GEO series	Title	Authors	Pubmed ID	Species	Cancer type	Cancer SubType	Cell line	GEO platform	Number of samples
GSE16456	MicroRNA expression signatures in Barrett's esophagus and esophageal adenocarcinoma	Yang H, Gu J, Wang K, Zhang W, Xing J, Chen Z, Ajani J, Wu X	19737949	Homo sapiens	esophageal cancer			GPL6955	32
GSE16558	MicroRNAs in Myeloma	Gutierrez NC, Sarasquete ME, Delgado M, Ticona FV, De las Rivas J,		Homo sapiens	lymphoma	multiple myeloma		GPL8695 	65
GSE17792	microRNA profiles of meningiomas	Saydam O	19703993	Homo sapiens	brain cancer	meningioma		GPL7436	17
GSE20099	microRNA/UCR expression profiling of human Barrett's carcinogenesis	Fassan M, Volinia S, Palatini J, Croce CM, Baffa R, Pizzi M, Ancona E, Rugge M, Galasso M, Zaninotto G	21128279	Homo sapiens	esophageal cancer	Barrett's carcinogenesis		GPL8871	51
GSE6857	Unique MicroRNA Expression Signature Predicts Survival, Metastases and Recurrence of HCC		18176954	Homo sapiens	hepatocellular carcinoma			GPL4700	482
GSE7055	Expression of microRNAs and Protein-coding Genes Associated with Perineural Invasion in Prostate Cancer	Ambs S, Hudson RS, Prueitt R, Yi M	18459106	Homo sapiens	prostate cancer			GPL4700	114
GSE7828	MicroRNA profiles of 84 colon adenocarcinomas and paired nontumorous	Schetter AJ, Leung SY, Sohn JJ, Zanetti KA et al	18230780	Homo sapiens	colon cancer			GPL4700	170
GSE15885	MicroRNA signatures predict Estrogen receptor, Progesterone receptor and HER2/neu receptor status in Breast Cancer	Lowery AJ, Miller N, Devaney A, McNeill RE, Davoren PA, Lemetre C, Benes V, Schmidt S, Blake J, Ball GR, Kerin MJ	19432961	Homo sapiens	breast cancer			GPL6127	29
GSE17498	Identification of MicroRNA Expression Patterns and a MicroRNAs/mRNA Regulatory Network in Multiple Myeloma	Lionetti M, Biasiolo M, Agnelli L, Todoerti K, Mosca L, Fabris S, Sales G, Lambertenghi-Deliliers G, Bicciato S, Lombardi L, Bortoluzzi S, Neri A	19846888	Homo sapiens	lymphoma	multiple myeloma		GPL8227	102
GSE18509	miR-193b represses cell proliferation and regulates cyclin D1 in melanoma: benign nevi and metastatic melanoma	Chen J, Feilotter H, Zhang X, Tron VA	20304954	Homo sapiens	melanoma			GPL9081	16
GSE18392	Genome-wide analysis of miRNA levels in colon cancer	Sarver A	19922656	Homo sapiens	colon cancer			GPL8178	145
GSE19856	Study of miRNA expression in childhood adrenocortical tumors	LALLI E	20484036	Homo sapiens	adrenocortical tumor			GPL8227	30
GSE19387	MicroRNA Expression Profiles Associated with Mutational Status and Survival in Malignant Melanoma	Caramuta S, Egyhazi S	20357817	Homo sapiens	melanoma			GPL9081	40
GSE22058	miR-122 as a Regulator of Mitochondrial Metabolic Gene Network in Hepatocellular Carcinoma	Burchard J, Zhang C, Liu AM, Lee NP, Wong K, Poon RT, Sham PC, Lam BY, Ferguson MD, Tokiwa G, Smith R, Leeson B, Beard R, Lamb JR, Lim L, Mao M, Dai H, Luk JM	20739924	Homo sapiens	hepatocellular carcinoma			GPL10457 	397
GSE21036	MicroRNA expression data for human primary and metastatic prostate cancer samples and control normal adjacent benign prostate	Taylor BS, Schultz N, Hieronymus H, Sawyers CL	20579941	Homo sapiens	prostate cancer			GPL8227 	142
GSE23022	MicroRNA expression data from human prostate cancer	Wach S, Ekici AB, Reis A, Eltze E	21400514	Homo sapiens	prostate cancer			GPL8786	40
GSE24390	microRNA profiles of schwannomas	Saydam O	21156648	Homo sapiens	brain cancer	Schwannoma tumors		GPL7436	24
GSE24485	miRNA expression profile of human MALT lymphoma compared to gastritis and gDLBCL	Craig VJ, Mueller A	21460242	Homo sapiens	lymphoma	B cell lymphoma of MALT type		GPL8227	22
GSE18546	Identification of Altered MicroRNA Expression Patterns in Synovial Sarcoma	Hisaoka M, Matsuyama A, Nagao Y, Luan L, Kuroda T, Akiyama H, Kondo S, Hashimoto H		Homo sapiens	sarcoma	Synovial sarcoma		GPL7738 	20
GSE24996	miR-193b Regulates Mcl-1 in Melanoma	Chen J, Zhang X, Lentz C, Abi-Daoud M, Feilotter HE, Tron VA	21893020	Homo sapiens	melanoma			GPL6955	31
GSE19783	Molecular Characterization of Breast Cancer Subtypes from Joint Analysis of High Throughput miRNA and mRNA Data (II)	Enerly E, Steinfeld I, Johnsen H, Kleivi KG, Leivonen SK, Russnes HG, Rønneberg JA, Navon R, Rødland E, Aure MR, Mäkelä R, Naume B,  Perälä M, Kallioniemi O, Kristensen VN, Børresen-Dale A, Yakhini Z	21364938	Homo sapiens	breast cancer			GPL8227	216
GSE20077	Aberrantly microRNA profiling in cancerous hepatocytes versus normal primary hepatocytes	He X, Chang Y, Lin J	22056881	Homo sapiens	hepatocellular carcinoma			GPL8227	11
GSE19980	Differentially expressed miRNAs between HepG2.2.15 and HepG2 cells	Guo H, Luo M		Homo sapiens	hepatocellular carcinoma			GPL9954 	12
GSE21362	MicroRNA Profile Predicts Recurrence of Hepatocellular Carcinoma in Milan Criteria Cases with Mild Liver Cirrhosis	Sato F, Hatano E, Kitamura K, Myomoto A, Fujiwara T, Takizawa S, Tsuchiya S, Tsujimoto G, Uemoto S, Shimizu K	21298008	Homo sapiens	hepatocellular carcinoma			GPL10312	146
GSE28700	Expression profiles of microRNAs in gastric cancer	Chen C, Juan H	21703006	Homo sapiens	gastric cancer			GPL9081	44
GSE29352	miRNA expression profiles in Pancreatic Cystic tumours and Pancreatic Cancer	Frampton A		Homo sapiens	pancreatic cancer			GPL13606	43
GSE26245	Protein-coding and MicroRNA Biomarkers of Recurrence of Prostate Cancer Following Radical Prostatectomy	Long Q, Johnson BA, Osunkoya AO, Lai Y, Zhou W, Abramovitz M, Xia M, Bouzyk MB, Nam RK, Sugar L, Stanimirovic A, Leyland-Jones BR, Seth AK, Petros JA, Moreno C		Homo sapiens	prostate cancer			GPL11350	96
GSE22816	Deregulated miRNAs in adrenocortical tumors	Caramuta S, Özata D, Velazquez-Fernandez D, Akçakaya P, Hong X, Bäckdahl M, Zedenius J, Larsson C, Lui W	21859927	Homo sapiens	adrenocortical tumor			GPL13347	52
GSE22216	microRNA expression profiling of early primary breast cancer to identify prognostic markers and associated pathways	Buffa FM, Camps C	21737487	Homo sapiens	breast cancer			GPL8178	210
GSE22420	The different epidemiologic subtypes of Burkitt Lymphoma share a largely homogenous micro RNA profile distinct from diffuse large B-cell lymphoma.	Lenze D	21701491	Homo sapiens	lymphoma	Burkitt Lymphoma		GPL10554	150
GSE24508	Expression of microRNAs and their gene targets are dysregulated in pre-invasive breast cancer (microRNA)	Hannafon BN, Rosenberg CL	21375733	Homo sapiens	breast cancer			GPL10349 	19
GSE23383	miRNAs in ovarian cancer: A systems approach (miRNA data)	Shahab S, Hill CG, Mittal VK, Mezencev R, Matyunina L, Walker LD, Bowen NJ, Benigno BB, Mcdonald JF	21811625	Homo sapiens	ovarian cancer			GPL9735	6
GSE23739	miRNA expressions in non-cancerous and cancerous human gastric tissues	Oh H, Tan A, Ooi C, Deng N, Tan I, Beillard E, Lee J, Ramnarayanan K, Rha S, Palanisamy N, Voorhoeve M, Tan P	21415212	Homo sapiens	gastric cancer			GPL7731	80
GSE32232	microRNA-expression profile in a series of Nodal marginal zone lymphoma patients [miRNA expression]	Arribas JA, Campos-Martín Y, Gómez-Abad C, Arribas JA, Algara P, Sánchez-Beato M, Rodriguez-Pinilla MS, Montes-Moreno S, Martinez N, Alves-Ferreira J, Piris MA, Mollejo M	22110251	Homo sapiens	lymphoma	B-cell non-Hodgkin lymphoma		GPL9081	46
GSE25820	Global microRNA expression profiling of microdissected tissues from diseased and non-diseased pancreatic tissues	Hahn S	21953293	Homo sapiens	pancreatic cancer			GPL7731	18
GSE32678	Integrative Survival-Based Molecular Profiling of Human Pancreatic Cancer [miRNA]	Donahue TR, Tran LM, Hill R, Li Y, Kovochich A, Calvopina JH, Patel SG, Wu N, Hindoyan A, Farrell JJ, Li X, Dawson DW, Wu H	22261810	Homo sapiens	pancreatic cancer			GPL7723	32
GSE25653	miRNA profiling of Melanoma Cell lines and Normal Melanocytes	Boyle GM, Woods SL, Bonazzi VF, Stark MS, Hacker E, Aoude LG, Hayward NK	21435193	Homo sapiens	melanoma			GPL6955	56
GSE31741	miRNA expression signatures in gastrointestinal stromal tumors (GISTs)	Suzuki H, Toyota M	22258453	Homo sapiens	gastrointestinal stromal tumor			GPL10406	32
GSE30454	Colorectal cancers with microsatellite instability display unique miRNA profiles	Balaguer F, Moreira L, Lozano JJ, Link A, Ramirez G, Shen Y, Cuatrecasas M, Arnold M, Meltzer SJ, Syngal S, Stoffel E, Jover R, Llor X, Castells A, Boland CR, Gironella M, Goel A	21844009	Homo sapiens	colorectal cancer			GPL8179	74
GSE31377	miRNA expression profiling of NKTCL (Natural Killer/T-Cell Lymphoma) samples	Ng S, Selvarajan V, Yan J, Huang G, Lin B, Bi C, Chng W	21921041	Homo sapiens	lymphoma	T-Cell Lymphoma		GPL8227	56
GSE33961	miRNA array in colorectal carcinoma	Sun Y		Homo sapiens	colorectal cancer			GPL7731	12
GSE26323	Human hepatocellular carcinoma: primary tumor vs.lung metastasis	Wu W, Tao Z, Li W, Wan J	23478189	Homo sapiens	hepatocellular carcinoma			GPL11362	6
GSE35579	050209-miRNA Melanoma miRNA microarray	Xu Y, Brown ER, Brenn T, Melton DW		Homo sapiens	melanoma			GPL15183	71
GSE31629	miRNA expression profiling in Adult T-cell Leukemia (ATL) cells and in Normal CD4+ T-cells	Tsutsumi A, Kagami Y, Nakano K, Yamagishi M, Uchimaru K, Utsunomiya A, Yamaguchi K, Watanabe T	22264793	Homo sapiens	leukemia			GPL7731	62
GSE32906	Differential expressed miRNAs in Multi-stages and Lymphoid node metastasis of Nasopharyngeal Carcinoma	luo z, li z, xiang j		Homo sapiens	nasopharyngeal carcinoma	T-cell Leukemia		GPL11350 	22
GSE35412	Identification and pathway analysis of microRNAs with no previous involvement in breast cancer	Romero-Cordoba S, Rodriguez-Cuevas S, Rebollar-Vega R, Quintanar-Jurado V, Maffuz-Aziz A, Jimenez-Sanchez G, Bautista-Piña V, Arellano-Llamas R, Hidalgo-Miranda A	22438871	Homo sapiens	breast cancer			GPL9731	75
GSE35602	microRNA and Gene expression profiles in colorectal cancer stromal tissue	Mori M, Mimori K, Nishida N	22452939	Homo sapiens	colorectal cancer			GPL8227	59
GSE29965	microRNA expression in Barrett's esophagus and esophageal adenocarcinoma	vanBaal JW, Siersema PD	22504665	Homo sapiens	esophageal cancer			GPL7722	12
GSE31045	MicroRNAs differentially expressed in liposarcoma	Creighton C, Lev D, Zhang P	22350414	Homo sapiens	sarcoma	liposarcoma		GPL7723 	25
GSE29135	MicroRNA profiling and prediction of recurrence/relapse-free survival in stage I lung cancer	Lu Y, Govindan R, You M	22331473	Homo sapiens	lung cancer			GPL8179	387
GSE29491	Combinatorial effects of microRNA to suppress the myc oncogenic pathway (miRNA data)	Di Lisio L, Bueno MJ, Gómez-López G, Martínez N, Piris MA, Malumbres M	21478429	Homo sapiens	lymphoma	B cell lymphoma		GPL8617 	26
GSE28955	A set of 72 differentially expressed miRNAs provide a molecular signature for pancreatic cancer	Laurila EM, Sandstrom S, Rantanen LM, Autio R, Kallioniemi A		Homo sapiens	pancreatic cancer			GPL6955	23
GSE37407	The miRNA-200 family and miRNA-9 exhibit differential expression in primary vs. corresponding metastatic tissue in breast cancer	Gravgaard KH, Lyng MB, Laenkholm A, Søkilde R, Nielsen BS, Litman T, Ditzel HJ	22294488	Homo sapiens	breast cancer			GPL13703	61
GSE28090	microRNA profiling of follicular lymphoma cells	Wang W, Corrigan-Cummins M, Maric I, Simakova O, Neelapu SS, Kwak LW, Janik JE, Gause B, Jaffe ES, Calvo KR	22102710	Homo sapiens	lymphoma	B cell lymphoma		GPL11487	25
GSE36682	MicroRNA Signatures Correlate with Diagnosis, Distant Metastasis and Prognosis in nasopharyngeal carcinoma	Wei R, Wang H		Homo sapiens	nasopharyngeal carcinoma			GPL15311	68
GSE35794	microRNA expression profile in endometrioid endometrial carcinoma (EEC)	Torres A, Torres K		Homo sapiens	endometrial cancer			GPL10850	22
GSE30656	Altered microRNA expression associated with chromosomal and epigenetic changes contributes to cervical carcinogenesis	Wilting SM, Snijders PJ, Verlaat W, Bosman-Jaspers A, vandeWiel MA, vanWieringen WN, Meijer GA, Kenter GG, Yi Y, leSage C, Agami R, Meijer CJ, Steenbergen RD	22330141	Homo sapiens	cervical cancer			GPL6955	47
GSE32960	microRNA profile of human nasopharyngeal tissues: nasopharyngeal carcinoma tissues vs. normal nasopharyngeal tissues	Ma J, Wang H, Liu N	23408429	Homo sapiens	nasopharyngeal carcinoma			GPL14722	330
GSE25631	Genome-wide analysis of microRNA expression in surgical specimens of primary glioblastoma multiform	Zhang W, Jiang T	22570426	Homo sapiens	brain cancer			GPL8179 	87
GSE33743	Lack of microRNA-101 causes E-cadherin expression and function deregulation through EZH2 up-regulation in gastric cancer	Carvalho J, Seruca R, van Grieken NC, Pereira PM, Sousa S, Tijssen M, Buffart TE, Diosdado B, Grabsch H, Santos MA, Meijer G, Carvalho B, Oliveira C	22450781	Homo sapiens	gastric cancer			GPL14895	41
GSE36681	Increased miR-708 expression in NSCLC and its association with poor survival in lung adenocarcinoma from Never Smokers	Jang JS, Jen J	22573352	Homo sapiens	lung cancer			GPL8179	206
GSE28100	Differential expression of microRNAs between oral squamous cell carcinoma and healthy control tongues	Jung HM, Patel RS, Cheng JQ, Chan EK	22761427	Homo sapiens	oral squamous cell carcinoma 			GPL10850	20
GSE29248	Genome-wide analysis of microRNA expression in Non-small Cell Lung Cancer	Ma L, Liu X	22046296	Homo sapiens	lung cancer			GPL8179	12
GSE32957	Integrative Transcriptomic Profiling reveals Hepatic Stem-like Phenotype and Interplay of EMT and miR-200c in Intrahepatic Cholangiocarcinoma [miRNA]	Oishi N, Wang XW	22707408	Homo sapiens	liver cancer			GPL14732	35
GSE37527	MiRNA expression analysis of cancer-associated fibroblasts (CAFs) and normal fibroblasts (NFs) in breast cancer	Liu M, Zhao L	22964023	Homo sapiens	breast cancer			GPL14767	12
GSE39678	Oncogenic Potential of SIRT7 in Human Hepatocellular Carcinoma and its Regulation by the Tumor Suppressors MiR-125a-5p and MiR-125b	Kim J, Noh J, Jung K, Eun J, Bae H, Kim M, Chang Y, Shen Q, Park W, Lee J, Borlak J, Nam S	23499894	Homo sapiens	hepatocellular carcinoma			GPL15852	24
GSE38389	The rectal cancer microRNAome - a comprehensive comparative analysis of microRNA expression in rectal cancer and matched normal mucosa	Søkilde R, Gaedcke J, Grade M, Camps J, Kaczkowski B, Schetter AJ, Difilippantonio MJ, Harris CC, Ghadim M, Møller S, Beissbarth T, Ried T, Litman T	22850566	Homo sapiens	colorectal cancer			GPL11039	140
GSE41282	MicroRNA expression data from human renal cell cancer subtypes	Wach S, Ekici AB, Reis A	23799849	Homo sapiens	kidney cancer			GPL8786	38
GSE28423	Modulation of the osteosarcoma expression phenotype by miRNAs [Agilent]	Namløs HM, Meza-Zepeda LA, Barøy T, Østensen IH, Kresse SH, Kuijjer ML, Serra M, Bürger H, Cleton-Jansen A, Myklebost O	23133552	Homo sapiens	sarcoma	osteosarcoma		GPL8227	23
GSE40525	miR-10b*, a master inhibitor of the cell cycle, is downregulated in human breast tumors	Biagioni F, Bossel Ben-Moshe N, Fontemaggi G, Canu V, Mori F, Antoniani B, Di Benedetto A, Santoro R, Germoni S, De Angelis F, Cambria A, Avraham R, Grasso G, Strano S, Muti P, Mottolese M, Yarden Y, Domany E, Blandino G	23125021	Homo sapiens	breast cancer			GPL8227	120
GSE34460	Comparative microarray analysis of microRNA expression profiles in primary cutaneous malignant melanoma, cutaneous malignant melanoma metastases and benign melanocytic naevi	Sand M, Skrygan M, Sand D, Georgas D, Gambichler T, Hahn SA, Altmeyer P, Bechara FG	23111773	Homo sapiens	melanoma			GPL15019	21
GSE38781	High-throughput microRNA (miRNAs) arrays in pancreatic cancer	Giovannetti E, van der Velde A, Funel N, Vasile E, Perrone V, Leon LG, De Lio N, Avan A, Caponi S, Pollina LE, Sudo H, Falcone A, Campani D, Boggi U, Peters GJ	23155457	Homo sapiens	pancreatic cancer			GPL14903 	19
GSE33125	Comparison of microarray platforms for measuring differential microRNA expression (Illumina data)	De Cecco L, Callari M	23028787	Homo sapiens	colon cancer			GPL8179	18
GSE33332	Prospective isolation and characterization of renal cancer stem cells from human Wilms' tumor xenografts leads to tumor eradication	Magister MJ, Kaminski N, Pode-Shakked N, Dekel B	23239665	Homo sapiens	kidney cancer			GPL10850	12
GSE39486	MicroRNA-138: A Pro-survival OncomiR for Glioma Stem Cells is Associated with Tumor Recurrence [miRNA]	Sampath P, Nama S	22921398	Homo sapiens	brain cancer	glioma		GPL15829	6
GSE33232	Cancer Outlier Gene Profile Sets Elucidate Pathways and Patient-Specific Targets in Head and Neck Squamous Cell Carcinoma			Homo sapiens	head and neck cancer			GPL8786	284
GSE35982	Identifying microRNA-mRNA regulatory networks in colorectal cancer by a combination of expression profile and bioinformatics analysis	Fu J, Tang W, Du P, Wang G, Chen W, Li J, Zhu Y, Gao J, Cui L	22703586	Homo sapiens	colorectal cancer			GPL14767	32
GSE19945	A small-cell lung cancer subtype with good prognosis found by a three miRNA signature	Ohba T, Nagano H		Homo sapiens	lung cancer			GPL9948	63
GSE36802	microRNA profiling in paired human prostate cancer and benign prostate tissue	Lin PC, Chiu YL, Banerjee S, Demichelis F, Rubin MA	23233736	Homo sapiens	prostate cancer			GPL8786	42
GSE40744	Identification of microRNAs specifically expressed in HCV-associated hepatocellular carcinoma	Diaz G, Melis M, Tice A, Kleiner DE, Mishra L, Zamboni F, Farci P	23390000	Homo sapiens	hepatocellular carcinoma			GPL14613	76
GSE33568	MicroRNA expression profiling of small-intestine neuroendocrine tumors and human neuroendocrine tumor cell lines	Li S, Martijn C, Essaghir A, Lloyd RV, Demoulin J, Öberg K, Giandomenico V	23328977	Homo sapiens	small intestinal neuroendocrine tumor			GPL8786 	25
GSE45264	miRNA expression in classical Hodgkin lymphoma diseased nodes	Jones K, Gandhi MK, Keane C		Homo sapiens	lymphoma	Hodgkin lymphoma		GPL16770	22
GSE45604	Identification of miRNAs specific for prostate cancer (PCa)	Lopez-Guerrero JA	24518785	Homo sapiens	prostate cancer			GPL14613	60
GSE36915	MicroRNA-214 downregulation contributes to tumor angiogenesis via inducing secretion of hepatoma-derived growth factor in human hepatoma	Shih TC, Tien YJ, Wen CJ, Yeh TS	22613005	Homo sapiens	hepatocellular carcinoma			GPL8179	89
GSE31164	Over-expression of miR-18b is associated with the grade of malignancy of hepatocallular carcinoma	Murakami Y, Tamori A, Itami S, Tanahashi T	23496901	Homo sapiens	hepatocellular carcinoma			GPL10850	110
GSE37053	Patterns of miRNA expression in primary plasma cell leukemias: implications for tumor progression in multiple myeloma	Marta L, Pellegrino M, Sonia F, Luca A, Katia T, Laura M, Giacomo T, Vitina G, Gabriella B, Fiorella D, Teodora S, Carmela M, Luciana D, Maria Teresa P, Fortunato M, Massimo O, Francesco D, Antonietta F, Paola O, Mario B, Antonio P, Antonino N	23613318	Homo sapiens	lymphoma	multiple myeloma		GPL8227	57
GSE47764	Cholangiocarcinoma tissues VS. corresponding normal bile duct tissues	Peng F, Qin R	24169343	Homo sapiens	liver cancer	cholangiocarcinoma		GPL11487	6
GSE29742	MIRnome Profiling of Hereditary Pheochromocytoma and Paraganglioma Reveals Specific Signatures According to Primary Mutation: Possible Implications in the Differentiation Status of Tumor Cells	Robledo M, de Cubas AA, Lopez-Jimenez E	23660872	Homo sapiens	neuroendocrine neoplasia			GPL8227	54
GSE26595	MicroRNA expression of primary gastric adenocarcinoma compared to non-cancer gastric tissue	Lee JS, Lim JY, Cho JY	24222951	Homo sapiens	gastric cancer			GPL8179 	68
GSE40355	Bladder cancer: analysis of miRNA-mRNA interactions	Hecker N, Stephan C, Mollenkopf HJ, Jung K, Preissner R, Meyer HA		Homo sapiens	bladder cancer			GPL8227	48
GSE47582	miRNA expression in primary renal carcinomas, subgrouped based on HIF1α expression	Lal P, Simon C	24189146	Homo sapiens	kidney cancer			GPL8786	26
GSE40345	Human Mesothelioma MicroRNA Study Part 1	Hoang CD, Xu Y	23828229	Homo sapiens	mesothelioma			GPL8179	31
GSE41874	Hepatocellular carcinoma (HCC)	Morita K		Homo sapiens	hepatocellular carcinoma			GPL7722	10
GSE45666	MicroRNA expression profile of breast cancer patients with adjacent normal control group	Lee C, Kuo W, Oyang Y, Huang H, Juan H	23722663	Homo sapiens	breast cancer			GPL14767	116
GSE49246	The prognostic and predictive value of a six-microRNA-based classifier in stage II colon cancer	Luo J, Xie D, Wang H	24239208	Homo sapiens	colon cancer			GPL17496 	80
GSE32922	Comparison between hereditary breast tumors and normal breast tissue samples	Tanic M, Gómez-López G, Benítez J, Martínez-Delgado B		Homo sapiens	breast cancer			GPL7723	38
GSE41369	Combinatorial analysis of miRNA and mRNA expression in pancreatic ductal adenocarcinoma (PDAC)_miRNA	Frampton AE	24120476	Homo sapiens	pancreatic cancer			GPL16142	18
GSE43796	microRNA expression of pancreatic tumors	Kim H, Park M, Kim M	24072181	Homo sapiens	pancreatic cancer			GPL15159	31
GSE29622	Complementary Strand MicroRNAs Mediate Acquisition of Metastatic Potential in Colonic AdenocarcinomamRNA and microRNA profile in colon cancer	Chen D, Yeatman T	22362069	Homo sapiens	colon cancer			GPL11162 	65
GSE35834	Impact of miRNAs modulation on regulatory networks and pathways involved in colon cancer and metastasis development	Bortoluzzi S, Zanovello P	23987127	Homo sapiens	colon cancer			GPL8786	158
GSE42906	Role of microRNAs and microRNA machinery in the pathogenesis of Diffuse large B-cell Lymphomas	Caramuta S, Berglund M, Lee L, Özata D, Akçakaya P, Georgii-Hemming P, Hong X, Amini R, Enbland G, Larsson C, Lui W	24121164	Homo sapiens	lymphoma			GPL9081	55
GSE44124	profile miRNA expression in breast cancer	Feliciano A, Castellvi J, Artero A, Leal JA, Romagosa C, Hernández J, Peg V, Fabra A, Vidal F, Kondoh H, Ramón y Cajal S, Lleonart ME	24098452	Homo sapiens	breast cancer			GPL14767	53
GSE47841	Expression data from high-grade serous ovarian carcinomas (HGSC), clear cell ovarian carcinomas (CCC) and ovarian surface epithelium (OSE)	Elgaaen BV, Olstad OK, Haug KB, Brusletto B, Sandvik L, Staff AC, Gautvik KM, Davidson B	24512620	Homo sapiens	ovarian cancer			GPL14613	30
GSE50505	microRNA Profiling in Wilms Tumors and Kidney Tissues	Liu M, Roth A, Yu M, Morris R, Bersani F, Rivera MN, Lu J, Shioda T, Vasudevan S, Ramaswamy S, Maheswaran S, Diederichs S, Haber DA	24298054	Homo sapiens	kidney cancer	Wilms tumor		GPL17667	28
GSE51908	miRNA expression data from normal and Malignant hematopoietic cells	Civin CI	25368993	Homo sapiens	leukemia			GPL8786 	190
GSE54088	A systematic approach to the metastatically relevant microRNA landscape	Abba M, Benner A	26069251	Homo sapiens	colorectal cancer			GPL8178 	34
GSE54397	microRNA expressions in gastric cancer	Chang H, Kim JM, Kim N	25167801	Homo sapiens	gastric cancer			GPL15159	32
GSE54492	miR-638 promotes melanoma metastasis and protects melanoma cells from apoptosis and autophagy (microRNA)	Bhattacharya A, Schmitz U, Raatz Y, Schönherr M, Kottek T, Schauer M, Franz S, Saalbach A, Anderegg U, Wolkenhauer O, Schadendorf D, Simon JC, Magin T, Vera J, Kunz M	25650662	Homo sapiens	melanoma			GPL10262	25
GSE31277	MicroRNA expression profile in Head and Neck Cancer: HOX-cluster embedded microRNA-196 and microRNA-10b dysregulation is implicated in cell proliferation	Severino P, Brüggemann H, Borges F, Pereira WO, Andreghetto FM, Camps C, de Fatima Garrido Klingbeil M, de Oliveira Pereira W, Soares RM, Moyses R, Wünsch-Filho V, Mathor MB, Nunes FD, Ragoussis J, Tajara EH	24209638	Homo sapiens	head and neck cancer			GPL9770	42
