hsa-let-7f-2	kidney cancer	up-regulated	microarray	2007	Micro-RNA profiling in kidney and bladder cancers.
hsa-miR-382	Duchenne muscular dystrophy (DMD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-382	limb-girdle muscular dystrophies types 2A (LGMD2A)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-382	miyoshi myopathy (MM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-204	Insulinoma	up-regulated	Northern blot, qRT-PCR etc	2006	MicroRNA expression abnormalities in pancreatic endocrine and acinar tumors are associated with distinctive pathologic features and clinical behavior.
hsa-let-7d	acute promyelocytic leukemia (APL)	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA gene expression during retinoic acid-induced differentiation of human acute promyelocytic leukemia.
hsa-miR-133a	cardiomyopathy	down-regulated	Northern blot, qRT-PCR etc	2007	The muscle-specific microRNAs miR-1 and miR-133 produce opposing effects on apoptosis by targeting HSP60, HSP70 and caspase-9 in cardiomyocytes.
hsa-miR-21	lung cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-16-1	acute promyelocytic leukemia (APL)	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA gene expression during retinoic acid-induced differentiation of human acute promyelocytic leukemia.
hsa-miR-635	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-10a	diffuse large B-cell lymphoma (DLBCL)	down-regulated	microarray	2008	MicroRNA signatures characterize diffuse large B-cell lymphomas and follicular lymphomas.
hsa-miR-184	acute myeloid leukemia (AML)	down-regulated	microarray	2008	Distinctive patterns of microRNA expression associated with karyotype in acute myeloid leukaemia.
hsa-miR-19a	hepatocellular carcinoma (HCC)	down-regulated	Northern blot, qRT-PCR etc	2008	Identification of metastasis-related microRNAs in hepatocellular carcinoma.
hsa-miR-24	prostate cancer	up-regulated	microarray	2008	Expression of microRNAs and protein-coding genes associated with perineural invasion in prostate cancer.
hsa-miR-302c	epithelial ovarian cancer (EOC)	down-regulated	microarray	2008	Genomic and epigenetic alterations deregulate microRNA expression in human epithelial ovarian cancer.
hsa-miR-30d	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-368	Duchenne muscular dystrophy (DMD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-150	lung cancer	up-regulated	microarray	2006	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
hsa-miR-125a	breast cancer	down-regulated	Northern blot, qRT-PCR etc	2006	Coordinate suppression of ERBB2 and ERBB3 by enforced expression of micro-RNA miR-125a or miR-125b.
hsa-miR-146a	lung cancer	up-regulated	microarray	2006	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
hsa-miR-146a	Oral Squamous Cell Carcinoma (OSCC)	up-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-146a	pancreatic cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-146a	pancreatic cancer	up-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-146a	prostate cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-146a	psoriasis	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNAs: novel regulators involved in the pathogenesis of Psoriasis?
hsa-miR-146b	breast cancer	down-regulated	Northern blot, qRT-PCR etc	2008	Expression of microRNA-146 suppresses NF-kappaB activity with reduction of metastatic potential in breast cancer cells.
hsa-miR-146b	autism spectrum disorder (ASD)	down-regulated	microarray	2008	Heterogeneous dysregulation of microRNAs across the autism spectrum.
hsa-let-7d	lung cancer	down-regulated	Northern blot, qRT-PCR etc	2007	The let-7 microRNA represses cell proliferation pathways in human cells.
hsa-let-7d	ovarian cancer (OC)	down-regulated	Northern blot, qRT-PCR etc	2007	Let-7 prevents early cancer progression by suppressing expression of the embryonic gene HMGA2.
hsa-let-7d	breast cancer	down-regulated	microarray	2005	MicroRNA gene expression deregulation in human breast cancer.
hsa-let-7d	epithelial ovarian cancer (EOC)	down-regulated	microarray	2007	MicroRNA signatures in human ovarian cancer.
hsa-let-7d	epithelial ovarian cancer (EOC)	down-regulated	microarray	2008	Genomic and epigenetic alterations deregulate microRNA expression in human epithelial ovarian cancer.
hsa-let-7d	hepatocellular carcinoma (HCC)	down-regulated	microarray	2007	Cyclin G1 is a target of miR-122a, a microRNA frequently down-regulated in human hepatocellular carcinoma.
hsa-let-7d	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-let-7d	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-let-7d	pancreatic cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Expression profiling identifies microRNA signature in pancreatic cancer.
hsa-let-7d	prostate cancer	down-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-let-7d*	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-let-7e	lung cancer	down-regulated	Northern blot, qRT-PCR etc	2007	The tumor suppressor microRNA let-7 represses the HMGA2 oncogene.
hsa-let-7e	acute lymphoblastic leukemia (ALL)	down-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-let-7e	acute myeloid leukemia (AML)	up-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-let-7e	acute myeloid leukemia (AML)	up-regulated	microarray	2008	Distinctive patterns of microRNA expression associated with karyotype in acute myeloid leukaemia.
hsa-let-7e	diffuse large B-cell lymphoma (DLBCL)	down-regulated	microarray	2008	MicroRNA signatures characterize diffuse large B-cell lymphomas and follicular lymphomas.
hsa-let-7e	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
hsa-let-7e	hepatocellular carcinoma (HCC)	down-regulated	microarray	2007	Cyclin G1 is a target of miR-122a, a microRNA frequently down-regulated in human hepatocellular carcinoma.
hsa-let-7e	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-let-7e	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-let-7e	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-let-7e	pituitary adenoma	down-regulated	microarray	2007	Identification of differentially expressed microRNAs by microarray: a possible role for microRNA genes in pituitary adenomas.
hsa-let-7e	psoriasis	down-regulated	microarray	2007	MicroRNAs: novel regulators involved in the pathogenesis of Psoriasis?
hsa-let-7f	lung cancer	down-regulated	Northern blot, qRT-PCR etc	2004	Reduced expression of the let-7 microRNAs in human lung cancers in association with shortened postoperative survival.
hsa-miR-210	glioblastoma multiforme (GBM)	up-regulated	Northern blot, qRT-PCR etc	2008	miR-124 and miR-137 inhibit proliferation of glioblastoma multiforme cells and induce differentiation of brain tumor stem cells.
hsa-miR-125a	acute lymphoblastic leukemia (ALL)	down-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-125a	acute myeloid leukemia (AML)	up-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-125a	breast cancer	down-regulated	microarray	2005	MicroRNA gene expression deregulation in human breast cancer.
hsa-miR-125a	chronic pancreatitis	up-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-125a	colorectal cancer	down-regulated	Northern blot, qRT-PCR etc	2006	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
hsa-miR-125a	epithelial ovarian cancer (EOC)	down-regulated	microarray	2007	MicroRNA signatures in human ovarian cancer.
hsa-miR-125a	hepatocellular carcinoma (HCC)	down-regulated	Northern blot, qRT-PCR etc	2006	Comprehensive analysis of microRNA expression patterns in hepatocellular carcinoma and non-tumorous tissues.
hsa-miR-125a	lung cancer	down-regulated	microarray	2006	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
hsa-miR-125a	neuroblastoma (NB)	down-regulated	Northern blot, qRT-PCR etc	2007	The interplay between microRNAs and the neurotrophin receptor tropomyosin-related kinase C controls proliferation of human neuroblastoma cells.
hsa-miR-125a	pancreatic cancer	up-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-125a	prostate cancer	down-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-125a	serous ovarian cancer	down-regulated	microarray	2008	MicroRNA expression profiles in serous ovarian carcinoma.
hsa-miR-125a	vascular disease	down-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA expression signature and antisense-mediated depletion reveal an essential role of MicroRNA in vascular neointimal lesion formation.
hsa-miR-125b	anaplastic thyroid carcinoma (ATC)	down-regulated	Northern blot, qRT-PCR etc	2007	Specific microRNAs are downregulated in human thyroid anaplastic carcinomas.
hsa-miR-125b	breast cancer	down-regulated	Northern blot, qRT-PCR etc	2005	MicroRNA gene expression deregulation in human breast cancer.
hsa-miR-125b	breast cancer	down-regulated	Northern blot, qRT-PCR etc	2006	Coordinate suppression of ERBB2 and ERBB3 by enforced expression of micro-RNA miR-125a or miR-125b.
hsa-miR-125b	prostate cancer	down-regulated	Northern blot, qRT-PCR etc	2007	Widespread deregulation of microRNA expression in human prostate cancer.
hsa-miR-125b	prostate cancer	up-regulated	Northern blot, qRT-PCR etc	2007	An androgen-regulated miRNA suppresses Bak1 expression and induces androgen-independent growth of prostate cancer cells.
hsa-miR-125b	Alzheimer's disease	up-regulated	Northern blot, qRT-PCR etc	2007	Micro-RNA speciation in fetal, adult and Alzheimer's disease hippocampus.
hsa-miR-125b	cardiac hypertrophy	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-125b	Cerebellar neurodegeneration	down-regulated	Northern blot, qRT-PCR etc	2007	Cerebellar neurodegeneration in the absence of microRNAs.
hsa-miR-125b	heart failure	up-regulated	Northern blot, qRT-PCR etc	2006	A signature pattern of stress-responsive microRNAs that can evoke cardiac hypertrophy and heart failure.
hsa-miR-135a	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-135b	colorectal cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
hsa-miR-135b	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-150	pancreatic ductal adenocarcinoma (PDAC)	up-regulated	microarray	2007	MicroRNA expression alterations are linked to tumorigenesis and non-neoplastic processes in pancreatic ductal adenocarcinoma.
hsa-miR-150	polycythemia vera (PV)	down-regulated	Northern blot, qRT-PCR etc	2007	Regulated expression of microRNAs in normal and polycythemia vera erythropoiesis.
hsa-miR-150	primary biliary cirrhosis (PBC)	down-regulated	microarray	2008	WITHDRAWN:MicroRNA profile in peripheral blood T cells of patients with primary biliary cirrhosis.
hsa-miR-150	uterine leiomyoma (ULM)	down-regulated	microarray	2008	Differential expression of microRNA species in human uterine leiomyoma versus normal myometrium.
hsa-miR-151	acute myeloid leukemia (AML)	down-regulated	microarray	2008	Distinctive patterns of microRNA expression associated with karyotype in acute myeloid leukaemia.
hsa-miR-151	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-151	diffuse large B-cell lymphoma (DLBCL)	down-regulated	microarray	2008	MicroRNA signatures characterize diffuse large B-cell lymphomas and follicular lymphomas.
hsa-miR-151	hepatocellular carcinoma (HCC)	up-regulated	microarray	2008	Profiling microRNA expression in hepatocellular carcinoma reveals microRNA-224 up-regulation and apoptosis inhibitor-5 as a microRNA-224-specific target.
hsa-miR-151	nasopharyngeal carcinoma (NPC)	up-regulated	microarray	2008	MicroRNA 29c is down-regulated in nasopharyngeal carcinomas, up-regulating mRNAs encoding extracellular matrix proteins.
hsa-miR-151	prostate cancer	up-regulated	microarray	2008	Expression of microRNAs and protein-coding genes associated with perineural invasion in prostate cancer.
hsa-miR-151*	acute lymphoblastic leukemia (ALL)	up-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-151*	acute myeloid leukemia (AML)	down-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-152	asthma	normal	Northern blot, qRT-PCR etc	2007	Allele-specific targeting of microRNAs to HLA-G and risk of asthma.
hsa-miR-152	breast cancer	down-regulated	Northern blot, qRT-PCR etc	2007	Epigenetic inactivation of microRNA gene hsa-mir-9-1 in human breast cancer.
hsa-miR-152	breast cancer	down-regulated	Northern blot, qRT-PCR etc	2007	Epigenetic inactivation of microRNA genes in mammary carcinoma.
hsa-miR-152	epithelial ovarian cancer (EOC)	down-regulated	microarray	2008	Genomic and epigenetic alterations deregulate microRNA expression in human epithelial ovarian cancer.
hsa-miR-153	B-cell chronic lymphocytic leukemia	up-regulated	microarray	2004	MicroRNA profiling reveals distinct signatures in B cell chronic lymphocytic leukemias.
hsa-miR-154	B-cell chronic lymphocytic leukemia	up-regulated	microarray	2004	MicroRNA profiling reveals distinct signatures in B cell chronic lymphocytic leukemias.
hsa-miR-154	dermatomyositis (DM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-133a	tongue squamous cell carcinoma	down-regulated	Northern blot, qRT-PCR etc	2008	Identification of pyruvate kinase type M2 as potential oncoprotein in squamous cell carcinoma of tongue through microRNA profiling.
hsa-miR-133a	epithelial ovarian cancer (EOC)	down-regulated	microarray	2007	MicroRNA signatures in human ovarian cancer.
hsa-miR-133a	glioblastoma multiforme (GBM)	down-regulated	Northern blot, qRT-PCR etc	2008	miR-124 and miR-137 inhibit proliferation of glioblastoma multiforme cells and induce differentiation of brain tumor stem cells.
hsa-miR-133a	primary biliary cirrhosis (PBC)	down-regulated	microarray	2008	WITHDRAWN:MicroRNA profile in peripheral blood T cells of patients with primary biliary cirrhosis.
hsa-miR-133a	retinitis pigmentosa (RP)	down-regulated	Northern blot, qRT-PCR etc	2007	Altered retinal microRNA expression profile in a mouse model of retinitis pigmentosa.
hsa-miR-133a	vascular disease	down-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA expression signature and antisense-mediated depletion reveal an essential role of MicroRNA in vascular neointimal lesion formation.
hsa-miR-133b	Parkinson's disease	down-regulated	microarray	2007	A MicroRNA feedback circuit in midbrain dopamine neurons.
hsa-miR-133b	tongue squamous cell carcinoma	down-regulated	Northern blot, qRT-PCR etc	2008	Identification of pyruvate kinase type M2 as potential oncoprotein in squamous cell carcinoma of tongue through microRNA profiling.
hsa-miR-133b	colorectal cancer	down-regulated	Northern blot, qRT-PCR etc	2006	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
hsa-miR-133b	glioblastoma multiforme (GBM)	down-regulated	Northern blot, qRT-PCR etc	2008	miR-124 and miR-137 inhibit proliferation of glioblastoma multiforme cells and induce differentiation of brain tumor stem cells.
hsa-miR-133b	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-133b	primary biliary cirrhosis (PBC)	down-regulated	microarray	2008	WITHDRAWN:MicroRNA profile in peripheral blood T cells of patients with primary biliary cirrhosis.
hsa-miR-133b	psoriasis	down-regulated	microarray	2007	MicroRNAs: novel regulators involved in the pathogenesis of Psoriasis?
hsa-miR-133b	testicular germ cell tumor	up-regulated	microarray	2007	High-throughput microRNAome analysis in human germ cell tumours.
hsa-miR-134	acute promyelocytic leukemia (APL)	down-regulated	Northern blot, qRT-PCR etc	2005	Real-time expression profiling of microRNA precursors in human cancer cell lines.
hsa-miR-134	B-cell chronic lymphocytic leukemia	up-regulated	microarray	2004	MicroRNA profiling reveals distinct signatures in B cell chronic lymphocytic leukemias.
hsa-miR-134	Duchenne muscular dystrophy (DMD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-134	epithelial ovarian cancer (EOC)	down-regulated	microarray	2007	MicroRNA signatures in human ovarian cancer.
hsa-miR-134	limb-girdle muscular dystrophies types 2A (LGMD2A)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-134	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-134	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-136	breast cancer	up-regulated	microarray	2005	MicroRNA gene expression deregulation in human breast cancer.
hsa-miR-136	hepatocellular carcinoma (HCC)	down-regulated	microarray	2007	Cyclin G1 is a target of miR-122a, a microRNA frequently down-regulated in human hepatocellular carcinoma.
hsa-miR-21	miyoshi myopathy (MM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-21	ovarian cancer (OC)	down-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-21	pancreatic cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-21	pancreatic cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Expression profiling identifies microRNA signature in pancreatic cancer.
hsa-miR-21	pancreatic cancer	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-21	papillary thyroid carcinoma (PTC)	up-regulated	microarray	2005	The role of microRNA genes in papillary thyroid carcinoma.
hsa-miR-21	polymyositis (PM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-21	prostate cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-21	prostate cancer	up-regulated	microarray	2008	Expression of microRNAs and protein-coding genes associated with perineural invasion in prostate cancer.
hsa-miR-21	psoriasis	up-regulated	Northern blot, qRT-PCR etc	2007	MicroRNAs: novel regulators involved in the pathogenesis of Psoriasis?
hsa-miR-21	serous ovarian cancer	up-regulated	microarray	2008	MicroRNA expression profiles in serous ovarian carcinoma.
hsa-miR-21	uterine leiomyoma (ULM)	up-regulated	Northern blot, qRT-PCR etc	2007	A micro-RNA signature associated with race, tumor size, and target gene activity in human uterine leiomyomas.
hsa-miR-21	uterine leiomyoma (ULM)	up-regulated	Northern blot, qRT-PCR etc	2008	Differential expression of microRNA species in human uterine leiomyoma versus normal myometrium.
hsa-miR-210	breast cancer	up-regulated	Northern blot, qRT-PCR etc	2008	hsa-miR-210 Is induced by hypoxia and is an independent prognostic factor in breast cancer.
hsa-miR-210	diffuse large B-cell lymphoma (DLBCL)	up-regulated	Northern blot, qRT-PCR etc	2008	Detection of elevated levels of tumour-associated microRNAs in serum of patients with diffuse large B-cell lymphoma.
hsa-miR-210	acute lymphoblastic leukemia (ALL)	up-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-210	acute myeloid leukemia (AML)	down-regulated	microarray	2007	MicroRNA expression signatures accurately discriminate acute lymphoblastic leukemia from acute myeloid leukemia.
hsa-miR-210	Alzheimer's disease	down-regulated	microarray	2008	Loss of microRNA cluster miR-29a/b-1 in sporadic Alzheimer's disease correlates with increased BACE1/beta-secretase expression.
hsa-miR-210	breast cancer	up-regulated	microarray	2005	MicroRNA gene expression deregulation in human breast cancer.
hsa-miR-210	dermatomyositis (DM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-210	diffuse large B-cell lymphoma (DLBCL)	up-regulated	microarray	2008	MicroRNA signatures characterize diffuse large B-cell lymphomas and follicular lymphomas.
hsa-miR-210	Duchenne muscular dystrophy (DMD)	up-regulated	Northern blot, qRT-PCR etc	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-210	follicular lymphoma (FL)	up-regulated	microarray	2008	MicroRNA signatures characterize diffuse large B-cell lymphomas and follicular lymphomas.
hsa-miR-210	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
hsa-miR-9	Hodgkin's lymphoma	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA-mediated down-regulation of PRDM1/Blimp-1 in Hodgkin/Reed-Sternberg cells: a potential pathogenetic lesion in Hodgkin lymphomas.
hsa-miR-31	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-31	pancreatic ductal adenocarcinoma (PDAC)	up-regulated	microarray	2007	MicroRNA expression alterations are linked to tumorigenesis and non-neoplastic processes in pancreatic ductal adenocarcinoma.
hsa-miR-368	facioscapulohumeral muscular dystrophy (FSHD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-368	limb-girdle muscular dystrophies types 2A (LGMD2A)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-368	miyoshi myopathy (MM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-368	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-368	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-369-5p	dermatomyositis (DM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-369-5p	Duchenne muscular dystrophy (DMD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-369-5p	facioscapulohumeral muscular dystrophy (FSHD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-369-5p	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-370	cholangiocarcinoma	down-regulated	Northern blot, qRT-PCR etc	2008	Epigenetic regulation of microRNA-370 by interleukin-6 in malignant human cholangiocytes.
hsa-miR-370	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-370	prostate cancer	up-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-371	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-371	testicular germ cell tumor	up-regulated	microarray	2007	High-throughput microRNAome analysis in human germ cell tumours.
hsa-miR-372	non-small cell lung cancer (NSCLC)	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA signature predicts survival and relapse in lung cancer.
hsa-miR-372	testicular germ cell tumor	up-regulated	Northern blot, qRT-PCR etc	2006	A genetic screen implicates miRNA-372 and miRNA-373 as oncogenes in testicular germ cell tumors.
hsa-miR-372	acute myeloid leukemia (AML)	down-regulated	microarray	2008	Distinctive patterns of microRNA expression associated with karyotype in acute myeloid leukaemia.
