,disease_idx,miRNA_idx,label
374,11,336,1
375,11,337,1
376,11,344,1
377,11,346,1
378,11,352,1
379,11,355,1
380,11,358,1
381,11,361,1
382,11,363,1
383,11,368,1
384,11,369,1
385,11,370,1
386,11,371,1
387,11,373,1
388,11,379,1
389,11,387,1
390,11,388,1
391,11,393,1
392,11,394,1
393,11,436,1
394,11,458,1
395,11,465,1
396,11,466,1
397,11,469,1
398,11,472,1
399,11,490,1
400,11,513,1
401,11,530,1
402,11,544,1
403,11,562,1
404,11,566,1
405,11,593,1
406,11,595,1
407,11,597,1
408,11,699,1
409,11,703,1
410,11,704,1
411,11,706,1
412,11,709,1
413,11,720,1
414,11,827,1
415,11,876,1
416,11,956,1
417,11,1021,1
418,11,1029,1
419,11,1052,1
420,11,1054,1
421,11,1055,1
422,12,22,1
423,12,173,1
424,12,196,1
425,12,206,1
426,12,236,1
427,12,241,1
428,12,246,1
429,12,251,1
430,12,315,1
431,12,320,1
432,12,335,1
433,12,473,1
434,12,486,1
435,12,602,1
436,12,603,1
437,12,692,1
438,12,1029,1
439,12,1033,1
440,13,32,1
441,13,33,1
442,13,142,1
443,13,144,1
444,13,173,1
445,13,196,1
446,13,206,1
447,13,207,1
448,13,214,1
449,13,229,1
450,13,230,1
451,13,242,1
452,13,245,1
453,13,272,1
454,13,315,1
455,13,320,1
456,13,343,1
457,13,344,1
458,13,357,1
459,13,486,1
460,13,543,1
461,13,593,1
462,13,595,1
463,13,692,1
464,13,694,1
465,13,803,1
466,13,833,1
467,13,834,1
468,13,883,1
469,13,946,1
470,13,957,1
471,13,983,1
472,13,989,1
473,13,991,1
474,13,1030,1
475,13,1031,1
476,13,1033,1
477,13,1049,1
478,14,6,1
479,14,14,1
480,14,15,1
481,14,16,1
482,14,19,1
483,14,20,1
484,14,25,1
485,14,33,1
486,14,35,1
487,14,36,1
488,14,40,1
489,14,42,1
490,14,54,1
491,14,63,1
492,14,70,1
493,14,85,1
494,14,90,1
495,14,91,1
496,14,94,1
497,14,110,1
498,14,125,1
499,14,139,1
500,14,171,1
501,14,172,1
502,14,179,1
503,14,182,1
504,14,189,1
505,14,191,1
506,14,192,1
507,14,195,1
508,14,196,1
509,14,197,1
510,14,199,1
511,14,200,1
512,14,201,1
513,14,206,1
514,14,207,1
515,14,213,1
516,14,214,1
517,14,217,1
518,14,218,1
519,14,221,1
520,14,227,1
521,14,229,1
522,14,230,1
523,14,231,1
524,14,234,1
525,14,241,1
526,14,246,1
527,14,250,1
528,14,252,1
529,14,253,1
530,14,256,1
531,14,259,1
532,14,264,1
533,14,268,1
534,14,271,1
535,14,276,1
536,14,291,1
537,14,294,1
538,14,295,1
539,14,300,1
540,14,301,1
541,14,302,1
542,14,303,1
543,14,305,1
544,14,307,1
545,14,308,1
546,14,309,1
547,14,313,1
548,14,314,1
549,14,315,1
550,14,316,1
551,14,321,1
552,14,323,1
553,14,327,1
554,14,335,1
555,14,336,1
556,14,337,1
557,14,338,1
558,14,343,1
559,14,344,1
560,14,346,1
561,14,347,1
562,14,352,1
563,14,355,1
564,14,357,1
565,14,358,1
566,14,361,1
567,14,368,1
568,14,369,1
569,14,370,1
570,14,372,1
571,14,387,1
572,14,388,1
573,14,415,1
574,14,436,1
575,14,440,1
576,14,461,1
577,14,472,1
578,14,473,1
579,14,518,1
580,14,561,1
581,14,567,1
582,14,571,1
583,14,584,1
584,14,609,1
585,14,627,1
586,14,628,1
587,14,638,1
588,14,699,1
589,14,706,1
590,14,720,1
591,14,771,1
592,14,805,1
593,14,860,1
594,14,863,1
595,14,886,1
596,14,928,1
597,14,935,1
598,14,943,1
599,14,957,1
600,14,982,1
601,14,990,1
602,14,1011,1
603,14,1021,1
604,14,1025,1
605,14,1029,1
606,14,1032,1
607,14,1033,1
608,14,1037,1
609,14,1051,1
610,14,1054,1
611,15,0,1
612,15,1,1
613,15,2,1
614,15,3,1
615,15,4,1
616,15,5,1
617,15,6,1
618,15,7,1
619,15,8,1
620,15,9,1
621,15,10,1
622,15,11,1
623,15,12,1
624,15,13,1
625,15,14,1
626,15,15,1
627,15,16,1
628,15,17,1
629,15,18,1
630,15,19,1
631,15,22,1
632,15,23,1
633,15,24,1
634,15,26,1
635,15,27,1
636,15,28,1
637,15,32,1
638,15,33,1
639,15,34,1
640,15,35,1
641,15,36,1
642,15,37,1
643,15,47,1
644,15,53,1
645,15,54,1
646,15,56,1
647,15,59,1
648,15,70,1
649,15,71,1
650,15,72,1
651,15,73,1
652,15,75,1
653,15,76,1
654,15,77,1
655,15,79,1
656,15,81,1
657,15,82,1
658,15,83,1
659,15,84,1
660,15,89,1
661,15,90,1
662,15,91,1
663,15,92,1
664,15,93,1
665,15,94,1
666,15,101,1
667,15,110,1
668,15,118,1
669,15,119,1
670,15,120,1
671,15,123,1
672,15,126,1
673,15,128,1
674,15,131,1
675,15,137,1
676,15,138,1
677,15,139,1
678,15,140,1
679,15,142,1
680,15,144,1
681,15,169,1
682,15,171,1
683,15,172,1
684,15,173,1
685,15,176,1
686,15,179,1
687,15,180,1
688,15,181,1
689,15,182,1
690,15,183,1
691,15,185,1
692,15,186,1
693,15,187,1
694,15,188,1
695,15,189,1
696,15,191,1
697,15,192,1
698,15,195,1
699,15,196,1
700,15,197,1
701,15,198,1
702,15,199,1
703,15,200,1
704,15,201,1
705,15,203,1
706,15,205,1
707,15,206,1
708,15,207,1
709,15,209,1
710,15,210,1
711,15,213,1
712,15,214,1
713,15,215,1
714,15,216,1
715,15,217,1
716,15,218,1
717,15,219,1
718,15,220,1
719,15,221,1
720,15,222,1
721,15,224,1
722,15,227,1
723,15,229,1
724,15,230,1
725,15,231,1
726,15,232,1
727,15,233,1
728,15,234,1
729,15,235,1
730,15,238,1
731,15,240,1
732,15,241,1
733,15,242,1
734,15,243,1
735,15,244,1
736,15,246,1
737,15,250,1
738,15,251,1
739,15,252,1
740,15,254,1
741,15,256,1
742,15,257,1
743,15,258,1
744,15,262,1
745,15,263,1
746,15,264,1
747,15,266,1
748,15,268,1
749,15,270,1
750,15,271,1
751,15,272,1
752,15,273,1
753,15,274,1
754,15,275,1
755,15,276,1
756,15,278,1
757,15,279,1
758,15,281,1
759,15,282,1
760,15,283,1
761,15,289,1
762,15,291,1
763,15,292,1
764,15,293,1
765,15,294,1
766,15,295,1
767,15,296,1
768,15,297,1
769,15,299,1
770,15,300,1
771,15,301,1
772,15,302,1
773,15,303,1
774,15,304,1
775,15,305,1
776,15,306,1
777,15,307,1
778,15,308,1
779,15,309,1
780,15,311,1
781,15,313,1
782,15,314,1
783,15,315,1
784,15,316,1
785,15,320,1
786,15,321,1
787,15,322,1
788,15,325,1
789,15,327,1
790,15,328,1
791,15,329,1
792,15,330,1
793,15,331,1
794,15,333,1
795,15,335,1
796,15,336,1
797,15,337,1
798,15,338,1
799,15,341,1
800,15,343,1
801,15,344,1
802,15,346,1
803,15,347,1
804,15,348,1
805,15,349,1
806,15,352,1
807,15,353,1
808,15,354,1
809,15,355,1
810,15,357,1
811,15,358,1
812,15,361,1
813,15,363,1
814,15,365,1
815,15,366,1
816,15,368,1
817,15,369,1
818,15,370,1
819,15,371,1
820,15,372,1
821,15,376,1
822,15,377,1
823,15,379,1
824,15,380,1
825,15,381,1
826,15,382,1
827,15,384,1
828,15,387,1
829,15,388,1
830,15,389,1
831,15,390,1
832,15,391,1
833,15,392,1
834,15,393,1
835,15,394,1
836,15,400,1
837,15,401,1
838,15,426,1
839,15,430,1
840,15,432,1
841,15,433,1
842,15,434,1
843,15,436,1
844,15,437,1
845,15,438,1
846,15,439,1
847,15,440,1
848,15,441,1
849,15,442,1
850,15,443,1
851,15,444,1
852,15,445,1
853,15,446,1
854,15,450,1
855,15,452,1
856,15,454,1
857,15,460,1
858,15,461,1
859,15,463,1
860,15,464,1
861,15,465,1
862,15,466,1
863,15,467,1
864,15,468,1
865,15,469,1
866,15,470,1
867,15,472,1
868,15,473,1
869,15,474,1
870,15,486,1
871,15,487,1
872,15,488,1
873,15,498,1
874,15,499,1
875,15,504,1
876,15,510,1
877,15,513,1
878,15,517,1
879,15,518,1
880,15,520,1
881,15,521,1
882,15,522,1
883,15,523,1
884,15,524,1
885,15,528,1
886,15,529,1
887,15,530,1
888,15,531,1
889,15,541,1
890,15,543,1
891,15,545,1
892,15,552,1
893,15,561,1
894,15,562,1
895,15,563,1
896,15,565,1
897,15,568,1
898,15,570,1
899,15,571,1
900,15,572,1
901,15,584,1
902,15,592,1
903,15,618,1
904,15,627,1
905,15,635,1
906,15,636,1
907,15,637,1
908,15,638,1
909,15,643,1
910,15,645,1
911,15,646,1
912,15,647,1
913,15,653,1
914,15,673,1
915,15,692,1
916,15,693,1
917,15,694,1
918,15,697,1
919,15,698,1
920,15,700,1
921,15,701,1
922,15,702,1
923,15,703,1
924,15,704,1
925,15,705,1
926,15,706,1
927,15,708,1
928,15,709,1
929,15,719,1
930,15,720,1
931,15,722,1
932,15,723,1
933,15,726,1
934,15,731,1
935,15,739,1
936,15,740,1
937,15,749,1
938,15,750,1
939,15,751,1
940,15,753,1
941,15,754,1
942,15,755,1
943,15,757,1
944,15,758,1
945,15,779,1
946,15,780,1
947,15,781,1
948,15,782,1
949,15,783,1
950,15,784,1
951,15,785,1
952,15,788,1
953,15,789,1
954,15,798,1
955,15,799,1
956,15,800,1
957,15,805,1
958,15,820,1
959,15,821,1
960,15,829,1
961,15,849,1
962,15,850,1
963,15,853,1
964,15,854,1
965,15,857,1
966,15,860,1
967,15,861,1
968,15,862,1
969,15,863,1
970,15,865,1
971,15,870,1
972,15,876,1
973,15,878,1
974,15,888,1
975,15,890,1
976,15,895,1
977,15,900,1
978,15,906,1
979,15,909,1
980,15,913,1
981,15,917,1
982,15,918,1
983,15,920,1
984,15,922,1
985,15,927,1
986,15,946,1
987,15,953,1
988,15,954,1
989,15,957,1
990,15,963,1
991,15,970,1
992,15,974,1
993,15,976,1
994,15,978,1
995,15,981,1
996,15,982,1
997,15,983,1
998,15,988,1
999,15,989,1
1000,15,990,1
1001,15,991,1
1002,15,995,1
1003,15,997,1
1004,15,999,1
1005,15,1007,1
1006,15,1008,1
1007,15,1010,1
1008,15,1011,1
1009,15,1015,1
1010,15,1016,1
1011,15,1019,1
1012,15,1020,1
1013,15,1021,1
1014,15,1022,1
1015,15,1023,1
1016,15,1024,1
1017,15,1026,1
1018,15,1027,1
1019,15,1029,1
1020,15,1030,1
1021,15,1031,1
1022,15,1032,1
1023,15,1033,1
1024,15,1034,1
1025,15,1041,1
1026,15,1051,1
1027,15,1052,1
1028,15,1054,1
1029,16,2,1
1030,16,3,1
1031,16,4,1
1032,16,5,1
1033,16,6,1
1034,16,7,1
1035,16,15,1
1036,16,33,1
1037,16,37,1
1038,16,47,1
1039,16,91,1
1040,16,92,1
1041,16,93,1
1042,16,94,1
1043,16,171,1
1044,16,173,1
1045,16,180,1
1046,16,181,1
1047,16,187,1
1048,16,188,1
1049,16,191,1
1050,16,195,1
1051,16,199,1
1052,16,201,1
1053,16,206,1
1054,16,213,1
1055,16,227,1
1056,16,230,1
1057,16,232,1
1058,16,233,1
1059,16,234,1
1060,16,268,1
1061,16,274,1
1062,16,275,1
1063,16,276,1
1064,16,279,1
1065,16,281,1
1066,16,287,1
1067,16,302,1
1068,16,303,1
1069,16,305,1
1070,16,308,1
1071,16,315,1
1072,16,316,1
1073,16,320,1
1074,16,336,1
1075,16,344,1
1076,16,359,1
1077,16,376,1
1078,16,377,1
1079,16,387,1
1080,16,461,1
1081,16,472,1
1082,16,522,1
1083,16,525,1
1084,16,526,1
1085,16,527,1
1086,16,528,1
1087,16,570,1
1088,16,627,1
1089,16,628,1
1090,16,691,1
1091,16,692,1
1092,16,700,1
1093,16,706,1
1094,16,970,1
1095,16,983,1
1096,16,989,1
1097,16,991,1
1098,17,12,1
1099,17,13,1
1100,17,16,1
1101,17,32,1
1102,17,53,1
1103,17,54,1
1104,17,70,1
1105,17,94,1
1106,17,179,1
1107,17,192,1
1108,17,196,1
1109,17,197,1
1110,17,199,1
1111,17,200,1
1112,17,201,1
1113,17,207,1
1114,17,213,1
1115,17,250,1
1116,17,271,1
1117,17,272,1
1118,17,276,1
1119,17,278,1
1120,17,283,1
1121,17,289,1
1122,17,301,1
1123,17,303,1
1124,17,305,1
1125,17,307,1
1126,17,308,1
1127,17,314,1
1128,17,315,1
1129,17,320,1
1130,17,326,1
1131,17,327,1
1132,17,335,1
1133,17,356,1
1134,17,388,1
1135,17,389,1
1136,17,394,1
1137,17,454,1
1138,17,468,1
1139,17,472,1
1140,17,473,1
1141,17,474,1
1142,17,520,1
1143,17,522,1
1144,17,568,1
1145,17,584,1
1146,17,638,1
1147,17,700,1
1148,17,708,1
1149,17,720,1
1150,17,723,1
1151,17,805,1
1152,17,913,1
1153,17,1021,1
1154,17,1033,1
1155,17,1051,1
1156,18,0,1
1157,18,1,1
1158,18,2,1
1159,18,3,1
1160,18,4,1
1161,18,5,1
1162,18,6,1
1163,18,7,1
1164,18,8,1
1165,18,9,1
1166,18,10,1
1167,18,11,1
1168,18,12,1
1169,18,13,1
1170,18,14,1
1171,18,15,1
1172,18,16,1
1173,18,17,1
1174,18,18,1
1175,18,19,1
1176,18,23,1
1177,18,24,1
1178,18,28,1
1179,18,29,1
1180,18,30,1
1181,18,32,1
1182,18,33,1
1183,18,34,1
1184,18,35,1
1185,18,36,1
1186,18,37,1
1187,18,40,1
1188,18,47,1
1189,18,49,1
1190,18,53,1
1191,18,54,1
1192,18,55,1
1193,18,59,1
1194,18,61,1
1195,18,62,1
1196,18,66,1
1197,18,67,1
1198,18,70,1
1199,18,71,1
1200,18,72,1
1201,18,73,1
1202,18,77,1
1203,18,80,1
1204,18,90,1
1205,18,91,1
1206,18,92,1
1207,18,93,1
1208,18,94,1
1209,18,97,1
1210,18,106,1
1211,18,107,1
1212,18,110,1
1213,18,112,1
1214,18,118,1
1215,18,120,1
1216,18,123,1
1217,18,128,1
1218,18,131,1
1219,18,137,1
1220,18,139,1
1221,18,140,1
1222,18,142,1
1223,18,144,1
1224,18,151,1
1225,18,153,1
1226,18,157,1
1227,18,166,1
1228,18,171,1
1229,18,172,1
1230,18,173,1
1231,18,179,1
1232,18,182,1
1233,18,183,1
1234,18,186,1
1235,18,187,1
1236,18,188,1
1237,18,189,1
1238,18,190,1
1239,18,191,1
1240,18,192,1
1241,18,193,1
1242,18,194,1
1243,18,195,1
1244,18,196,1
1245,18,197,1
1246,18,198,1
1247,18,199,1
1248,18,200,1
1249,18,201,1
1250,18,203,1
1251,18,204,1
1252,18,206,1
1253,18,207,1
1254,18,210,1
1255,18,213,1
1256,18,214,1
1257,18,215,1
1258,18,217,1
1259,18,218,1
1260,18,219,1
1261,18,221,1
1262,18,222,1
1263,18,226,1
1264,18,227,1
1265,18,229,1
1266,18,230,1
1267,18,231,1
1268,18,232,1
1269,18,233,1
1270,18,234,1
1271,18,235,1
1272,18,238,1
1273,18,240,1
1274,18,241,1
1275,18,242,1
1276,18,243,1
1277,18,244,1
1278,18,245,1
1279,18,246,1
1280,18,250,1
1281,18,251,1
1282,18,252,1
1283,18,253,1
1284,18,254,1
1285,18,255,1
1286,18,256,1
1287,18,257,1
1288,18,262,1
1289,18,263,1
1290,18,264,1
1291,18,268,1
1292,18,271,1
1293,18,272,1
1294,18,273,1
1295,18,276,1
1296,18,277,1
1297,18,278,1
1298,18,279,1
1299,18,281,1
1300,18,283,1
1301,18,289,1
1302,18,290,1
1303,18,291,1
1304,18,292,1
1305,18,293,1
1306,18,294,1
1307,18,295,1
1308,18,296,1
1309,18,297,1
1310,18,298,1
1311,18,299,1
1312,18,300,1
1313,18,301,1
1314,18,302,1
1315,18,303,1
1316,18,304,1
1317,18,305,1
1318,18,306,1
1319,18,307,1
1320,18,308,1
1321,18,309,1
1322,18,310,1
1323,18,311,1
1324,18,312,1
1325,18,313,1
1326,18,314,1
1327,18,315,1
1328,18,316,1
1329,18,317,1
1330,18,318,1
1331,18,319,1
1332,18,320,1
1333,18,321,1
1334,18,322,1
1335,18,323,1
1336,18,324,1
1337,18,325,1
1338,18,326,1
1339,18,327,1
1340,18,328,1
1341,18,329,1
1342,18,330,1
1343,18,333,1
1344,18,335,1
1345,18,336,1
1346,18,337,1
1347,18,338,1
1348,18,343,1
1349,18,344,1
1350,18,346,1
1351,18,347,1
1352,18,348,1
1353,18,349,1
1354,18,350,1
1355,18,352,1
1356,18,353,1
1357,18,354,1
1358,18,355,1
1359,18,357,1
1360,18,358,1
1361,18,359,1
1362,18,361,1
1363,18,363,1
1364,18,368,1
1365,18,369,1
1366,18,370,1
1367,18,371,1
1368,18,372,1
1369,18,376,1
1370,18,378,1
1371,18,380,1
1372,18,381,1
1373,18,382,1
1374,18,387,1
1375,18,388,1
1376,18,389,1
1377,18,390,1
1378,18,391,1
1379,18,392,1
1380,18,393,1
1381,18,394,1
1382,18,395,1
1383,18,397,1
1384,18,398,1
1385,18,402,1
1386,18,405,1
1387,18,420,1
1388,18,432,1
1389,18,433,1
1390,18,436,1
1391,18,438,1
1392,18,439,1
1393,18,441,1
1394,18,442,1
1395,18,444,1
1396,18,446,1
1397,18,449,1
1398,18,450,1
1399,18,451,1
1400,18,452,1
1401,18,454,1
1402,18,459,1
1403,18,460,1
1404,18,461,1
1405,18,463,1
1406,18,465,1
1407,18,466,1
1408,18,468,1
1409,18,469,1
1410,18,470,1
1411,18,471,1
1412,18,472,1
1413,18,473,1
1414,18,474,1
1415,18,476,1
1416,18,482,1
1417,18,486,1
1418,18,490,1
1419,18,498,1
1420,18,499,1
1421,18,502,1
1422,18,504,1
1423,18,512,1
1424,18,513,1
1425,18,514,1
1426,18,517,1
1427,18,518,1
1428,18,520,1
1429,18,522,1
1430,18,524,1
1431,18,525,1
1432,18,526,1
1433,18,529,1
1434,18,530,1
1435,18,531,1
1436,18,541,1
1437,18,543,1
1438,18,546,1
1439,18,561,1
1440,18,562,1
1441,18,563,1
1442,18,565,1
1443,18,566,1
1444,18,568,1
1445,18,570,1
1446,18,571,1
1447,18,584,1
1448,18,593,1
1449,18,595,1
1450,18,597,1
1451,18,598,1
1452,18,611,1
1453,18,618,1
1454,18,627,1
1455,18,628,1
1456,18,635,1
1457,18,636,1
1458,18,637,1
1459,18,638,1
1460,18,643,1
1461,18,645,1
1462,18,652,1
1463,18,691,1
1464,18,692,1
1465,18,693,1
1466,18,694,1
1467,18,698,1
1468,18,699,1
1469,18,700,1
1470,18,701,1
1471,18,702,1
1472,18,703,1
1473,18,706,1
1474,18,707,1
1475,18,708,1
1476,18,709,1
1477,18,710,1
1478,18,711,1
1479,18,715,1
1480,18,716,1
1481,18,717,1
1482,18,719,1
1483,18,720,1
1484,18,722,1
1485,18,723,1
1486,18,725,1
1487,18,726,1
1488,18,733,1
1489,18,734,1
1490,18,735,1
1491,18,736,1
1492,18,742,1
1493,18,760,1
1494,18,762,1
1495,18,765,1
1496,18,768,1
1497,18,771,1
1498,18,775,1
1499,18,780,1
1500,18,781,1
1501,18,782,1
1502,18,783,1
1503,18,785,1
1504,18,786,1
1505,18,788,1
1506,18,793,1
1507,18,796,1
1508,18,798,1
1509,18,799,1
1510,18,800,1
1511,18,801,1
1512,18,802,1
1513,18,803,1
1514,18,805,1
1515,18,812,1
1516,18,826,1
1517,18,833,1
1518,18,834,1
1519,18,835,1
1520,18,844,1
1521,18,857,1
1522,18,858,1
1523,18,860,1
1524,18,861,1
1525,18,863,1
1526,18,867,1
1527,18,868,1
1528,18,876,1
1529,18,878,1
1530,18,880,1
1531,18,887,1
1532,18,889,1
1533,18,895,1
1534,18,896,1
1535,18,898,1
1536,18,903,1
1537,18,904,1
1538,18,910,1
1539,18,913,1
1540,18,917,1
1541,18,918,1
1542,18,925,1
1543,18,926,1
1544,18,927,1
1545,18,939,1
1546,18,944,1
1547,18,945,1
1548,18,948,1
1549,18,950,1
1550,18,957,1
1551,18,965,1
1552,18,970,1
1553,18,981,1
1554,18,982,1
1555,18,983,1
1556,18,988,1
1557,18,989,1
1558,18,990,1
1559,18,991,1
1560,18,992,1
1561,18,995,1
1562,18,996,1
1563,18,998,1
1564,18,999,1
1565,18,1013,1
1566,18,1014,1
1567,18,1016,1
1568,18,1021,1
1569,18,1023,1
1570,18,1026,1
1571,18,1027,1
1572,18,1029,1
1573,18,1030,1
1574,18,1031,1
1575,18,1032,1
1576,18,1033,1
1577,18,1037,1
1578,18,1040,1
1579,18,1041,1
1580,18,1042,1
1581,18,1046,1
1582,18,1047,1
1583,18,1049,1
1584,18,1051,1
1585,18,1052,1
1586,18,1054,1
1587,18,1055,1
1588,19,1,1
1589,19,6,1
1590,19,16,1
1591,19,54,1
1592,19,91,1
1593,19,192,1
1594,19,199,1
1595,19,201,1
1596,19,230,1
1597,19,250,1
1598,19,264,1
1599,19,278,1
1600,19,301,1
1601,19,315,1
1602,19,335,1
1603,19,336,1
1604,19,352,1
1605,19,474,1
1606,19,520,1
1607,19,584,1
1608,19,805,1
1609,19,887,1
1610,19,1051,1
1611,20,0,1
1612,20,1,1
1613,20,2,1
1614,20,3,1
1615,20,4,1
1616,20,5,1
1617,20,6,1
1618,20,7,1
1619,20,8,1
1620,20,9,1
1621,20,12,1
1622,20,13,1
1623,20,14,1
1624,20,15,1
1625,20,16,1
1626,20,17,1
1627,20,18,1
1628,20,32,1
1629,20,34,1
1630,20,35,1
1631,20,36,1
1632,20,37,1
1633,20,47,1
1634,20,53,1
1635,20,54,1
1636,20,59,1
1637,20,70,1
1638,20,71,1
1639,20,72,1
1640,20,73,1
1641,20,77,1
1642,20,81,1
1643,20,86,1
1644,20,87,1
1645,20,89,1
1646,20,90,1
1647,20,91,1
1648,20,92,1
1649,20,93,1
1650,20,94,1
1651,20,110,1
